right_ascension,declination,reference_frequency,reference_intensity,spectral_index
3.126674263039869,0.19541487533747248,26666666.666666668,1533.61767578125,-0.45400792360305786
3.1204217664653187,0.159860072295745,26666666.666666668,1478.4683837890625,-0.4527084231376648
3.156401476082439,0.15361319543661758,26666666.666666668,1488.9808349609375,-0.4554038643836975
3.162873082855851,0.18912873606297023,26666666.666666668,1524.2723388671875,-0.4591326117515564
3.1302670493079683,0.22434784427070803,26666666.666666668,1548.33203125,-0.4498665928840637
3.0976623812943354,0.2017821931119429,26666666.666666668,1528.047607421875,-0.4560126066207886
3.0910947105303412,0.16327273134240794,26666666.666666668,1457.7900390625,-0.4512583017349243
3.11394065157241,0.13142863971894791,26666666.666666668,1416.5836181640625,-0.44842618703842163
3.1527208283632677,0.12469645334917451,26666666.666666668,1446.430419921875,-0.44599854946136475
3.185100315186088,0.14695684779016546,26666666.666666668,1501.0859375,-0.45423147082328796
3.1922875315122696,0.18535541198667912,26666666.666666668,1518.8818359375,-0.45123448967933655
3.1696677609509836,0.21750445696384835,26666666.666666668,1532.1636962890625,-0.45180609822273254
3.1347107061021373,0.250802263762234,26666666.666666668,1544.9736328125,-0.44419267773628235
3.0964418746078524,0.23705896312710448,26666666.666666668,1545.4398193359375,-0.4483254551887512
3.0707055271014734,0.20643775963666983,26666666.666666668,1503.870849609375,-0.4553995728492737
3.0642364556716117,0.16735424026013188,26666666.666666668,1435.599365234375,-0.4519084692001343
3.0783574944801506,0.13030124851049166,26666666.666666668,1380.847412109375,-0.4489107131958008
3.1090814243946174,0.10506189276676187,26666666.666666668,1373.000244140625,-0.4458533823490143
3.148291597546869,0.09825570279262547,26666666.666666668,1408.7860107421875,-0.44362014532089233
3.1857550999317557,0.11166594489903013,26666666.666666668,1465.567626953125,-0.4433286786079407
3.2116765516380577,0.14177879292561008,26666666.666666668,1508.323974609375,-0.45099973678588867
3.219130735172243,0.18068630298330937,26666666.666666668,1505.443603515625,-0.44838035106658936
3.2058140406986104,0.21807031397083462,26666666.666666668,1509.4351806640625,-0.4450349509716034
3.174910335732137,0.2438187334136384,26666666.666666668,1533.2742919921875,-0.44407209753990173
3.1392812119345854,0.27661451567064926,26666666.666666668,1548.384521484375,-0.4314844310283661
3.0990106725977395,0.26781321365415434,26666666.666666668,1543.9189453125,-0.43932268023490906
3.065631030008361,0.24458967043360494,26666666.666666668,1537.547607421875,-0.4570816159248352
3.0442924509253086,0.21068059409542908,26666666.666666668,1499.7109375,-0.46204835176467896
3.0379872887739667,0.17139184875714467,26666666.666666668,1417.1075439453125,-0.4543040692806244
3.0473286678146594,0.13270498135569112,26666666.666666668,1362.610107421875,-0.4526446759700775
3.070691209114754,0.10040105552698354,26666666.666666668,1343.33349609375,-0.4486439526081085
3.1045248067257893,0.07927128410827149,26666666.666666668,1354.2415771484375,-0.44571563601493835
3.143822075504688,0.07245045348307086,26666666.666666668,1385.386962890625,-0.44346752762794495
3.1827907921743486,0.08095266993437641,26666666.666666668,1437.5726318359375,-0.44221553206443787
3.2156865800278163,0.10351405438156883,26666666.666666668,1486.7794189453125,-0.44281718134880066
3.23763469499398,0.1367882019512639,26666666.666666668,1502.058349609375,-0.451133668422699
3.245279134158743,0.17583827754270742,26666666.666666668,1490.220703125,-0.4469153583049774
3.237230149343343,0.2148201325796089,26666666.666666668,1496.315185546875,-0.44161519408226013
3.2143626991645746,0.2477827786944676,26666666.666666668,1526.075439453125,-0.44008609652519226
3.179928994174029,0.26955157671991276,26666666.666666668,1542.38134765625,-0.43497246503829956
3.143920112287472,0.3021771909738344,26666666.666666668,1578.34228515625,-0.43267038464546204
3.102660754623618,0.2964635723003188,26666666.666666668,1556.361083984375,-0.4343779385089874
3.065565742705931,0.2785306217378314,26666666.666666668,1546.7274169921875,-0.44681763648986816
3.0364481215781454,0.2502980315576218,26666666.666666668,1542.2960205078125,-0.46910160779953003
3.018068546084165,0.21470161971851048,26666666.666666668,1516.0650634765625,-0.47567057609558105
3.0119496573898865,0.17532002870825222,26666666.666666668,1417.2926025390625,-0.46202555298805237
3.0183919874084357,0.13599524113971634,26666666.666666668,1352.35546875,-0.45563992857933044
3.0365783537762026,0.10048701746897595,26666666.666666668,1334.3463134765625,-0.4530949294567108
3.0646952132258574,0.07216190128341302,26666666.666666668,1343.2965087890625,-0.4494059383869171
3.1000702560616835,0.05370838973693704,26666666.666666668,1359.5618896484375,-0.4472743272781372
3.1393682055715937,0.04688777405303794,26666666.666666668,1380.37841796875,-0.44486749172210693
3.1788764770996245,0.05235407637887079,26666666.666666668,1422.2830810546875,-0.4427655339241028
3.214861811042173,0.06958299106927007,26666666.666666668,1474.030517578125,-0.4417875111103058
3.2439312197868952,0.09692904292726894,26666666.666666668,1496.962646484375,-0.44354769587516785
3.2633275525947805,0.13179535873258624,26666666.666666668,1484.37548828125,-0.45096954703330994
3.2711344107613516,0.17087714124615996,26666666.666666668,1479.2298583984375,-0.4449092149734497
3.2664178475434977,0.21044348400604146,26666666.666666668,1505.0526123046875,-0.44087299704551697
3.2493483827420278,0.2466451952836232,26666666.666666668,1546.634033203125,-0.4368670880794525
3.221309517435131,0.2758560914836778,26666666.666666668,1598.2314453125,-0.44333896040916443
3.1849289020773863,0.2950497785869579,26666666.666666668,1600.248291015625,-0.44119182229042053
3.1486249984966617,0.3276248169422731,26666666.666666668,1646.730712890625,-0.441450297832489
3.106733887794734,0.3240146545391582,26666666.666666668,1599.5274658203125,-0.43356114625930786
3.067516589783893,0.3098891622665187,26666666.666666668,1573.1492919921875,-0.44504451751708984
3.033882681623315,0.28634131088915776,26666666.666666668,1561.2078857421875,-0.4539037346839905
3.0081513732609606,0.25514194850653943,26666666.666666668,1551.6046142578125,-0.47537580132484436
2.991907834506931,0.21855253395887034,26666666.666666668,1514.3472900390625,-0.47419828176498413
2.9859871072350357,0.17912670497614422,26666666.666666668,1436.57275390625,-0.47587114572525024
2.9905306035574655,0.13952926323714906,26666666.666666668,1347.7305908203125,-0.45610690116882324
3.005059330927296,0.1023796664960729,26666666.666666668,1333.130859375,-0.4558168947696686
3.028533854324097,0.07011261587422439,26666666.666666668,1344.169921875,-0.4532432556152344
3.059402080795695,0.04484550757679352,26666666.666666668,1364.177734375,-0.4510803818702698
3.095657262945678,0.028249560815277124,26666666.666666668,1376.7252197265625,-0.44898736476898193
3.134932839824145,0.0214330243780381,26666666.666666668,1390.771240234375,-0.4466015100479126
3.174647073770359,0.024854167293007753,26666666.666666668,1422.3331298828125,-0.4442903995513916
3.2121860777006757,0.03828274640812991,26666666.666666668,1468.2969970703125,-0.44213512539863586
3.245093115793344,0.06081956207282431,26666666.666666668,1503.843994140625,-0.4412710964679718
3.271228559776121,0.09096912719439278,26666666.666666668,1492.18701171875,-0.4435960352420807
3.2888809878635463,0.1267487621877594,26666666.666666668,1444.2686767578125,-0.44518882036209106
3.2968348472864775,0.16581494868924104,26666666.666666668,1478.3516845703125,-0.4438931941986084
3.2944185598046714,0.20559483954022198,26666666.666666668,1523.99853515625,-0.4425155520439148
3.2815589525760007,0.24342243236523156,26666666.666666668,1587.824951171875,-0.43942928314208984
3.2588517857132486,0.2766881727141591,26666666.666666668,1687.54345703125,-0.4424390494823456
3.2276290854147227,0.30301164731074937,26666666.666666668,1741.8883056640625,-0.45436757802963257
3.189974195379956,0.32043628998819046,26666666.666666668,1711.3880615234375,-0.4516518712043762
3.15340277764368,0.353017194182735,26666666.666666668,1770.93994140625,-0.4536207914352417
3.111020112435809,0.3509339940378382,26666666.666666668,1670.9599609375,-0.43910014629364014
3.0704184277209987,0.3396422299685615,26666666.666666668,1618.1087646484375,-0.44816067814826965
3.0338980984167554,0.3198114449426299,26666666.666666668,1592.7161865234375,-0.4512617588043213
3.0033940459720467,0.2925859251027252,26666666.666666668,1575.955810546875,-0.4534362852573395
2.9803625940467535,0.2594783149610184,26666666.666666668,1549.06982421875,-0.46385669708251953
2.9657530776563736,0.2222514622887504,26666666.666666668,1497.25537109375,-0.46950146555900574
